"species","Spnvisits","P90","prop_abs","Taxa","Taxa_Root"
"ANDRENA argentata",348,19,0.994645659599348,"Bees","Bees"
"ANDRENA barbilabris",1045,41.4,0.983921592762409,"Bees","Bees"
"ANDRENA bicolor",2941,119.2,0.954749669200234,"Bees","Bees"
"ANDRENA bimaculata",415,21.6,0.993614795211866,"Bees","Bees"
"ANDRENA bucephala",231,10.8,0.996445825768532,"Bees","Bees"
"ANDRENA chrysosceles",1761,77,0.972905191248423,"Bees","Bees"
"ANDRENA coitana",212,10,0.99673816044558,"Bees","Bees"
"ANDRENA congruens",82,5,0.998738345078007,"Bees","Bees"
"ANDRENA denticulata",547,24.8,0.99158383850817,"Bees","Bees"
"ANDRENA dorsata",2332,113.5,0.964119764901376,"Bees","Bees"
"ANDRENA ferox",45,7,0.999307628396467,"Bees","Bees"
"ANDRENA fucata",500,22,0.992306982182971,"Bees","Bees"
"ANDRENA fulva",1901,73.8,0.970751146259655,"Bees","Bees"
"ANDRENA fulvago",178,10.7,0.997261285657138,"Bees","Bees"
"ANDRENA fuscipes",806,39.5,0.987598855278949,"Bees","Bees"
"ANDRENA hattorfiana",252,13.2,0.996122719020217,"Bees","Bees"
"ANDRENA helvola",502,24.6,0.992276210111703,"Bees","Bees"
"ANDRENA humilis",337,15.9,0.994814905991322,"Bees","Bees"
"ANDRENA labialis",479,24.6,0.992630088931286,"Bees","Bees"
"ANDRENA labiata",450,27.5,0.993076283964674,"Bees","Bees"
"ANDRENA lapponica",255,12.2,0.996076560913315,"Bees","Bees"
"ANDRENA minutula",2811,100.4,0.956749853832661,"Bees","Bees"
"ANDRENA minutuloides",273,16,0.995799612271902,"Bees","Bees"
"ANDRENA nigriceps",83,4.9,0.998722959042373,"Bees","Bees"
"ANDRENA nitidiuscula",146,11,0.997753638797427,"Bees","Bees"
"ANDRENA niveata",28,2,0.999569191002246,"Bees","Bees"
"ANDRENA similis",110,5.6,0.998307536080254,"Bees","Bees"
"ANDRENA ovatula",841,35.4,0.987060344031757,"Bees","Bees"
"ANDRENA pilipes s.s.",176,13,0.997292057728406,"Bees","Bees"
"ANDRENA praecox",518,21.9,0.992030033541558,"Bees","Bees"
"ANDRENA proxima",135,7.6,0.997922885189402,"Bees","Bees"
"ANDRENA semilaevis",1064,41.6,0.983629258085362,"Bees","Bees"
"ANDRENA subopaca",1526,66,0.976520909622427,"Bees","Bees"
"ANDRENA synadelpha",339,14,0.994784133920054,"Bees","Bees"
"ANDRENA tarsata",227,9.7,0.996507369911069,"Bees","Bees"
"ANDRENA thoracica",581,27.5,0.991060713296612,"Bees","Bees"
